x,y,zx,zy,zxy,ncd
"AltitudeClasse","AltitudeDiferença",1132,1391,2424,0.928828181164630
"AltitudeClasse","AltitudeMaxm",1132,1566,2484,0.863346104725415
"AltitudeClasse","AltitudeMedm",1132,2293,3260,0.928041866550371
"AltitudeClasse","AltitudeMinm",1132,1540,2495,0.885064935064935
"AltitudeClasse","AssistenteTécnicoID",1132,1197,2344,1.012531328320802
"AltitudeClasse","Ciclodias",1132,1602,2754,1.012484394506866
"AltitudeClasse","ClasseSoloBR",1132,1327,2606,1.110776186887717
"AltitudeClasse","ColheitaDecendio",1132,1039,2055,0.897526501766785
"AltitudeClasse","ColheitaFinal",1132,1494,2659,1.022088353413655
"AltitudeClasse","ColheitaInicial",1132,1499,2664,1.022014676450967
"AltitudeClasse","ColheitaMes",1132,1070,2299,1.085689045936396
"AltitudeClasse","CooperativaID",1132,922,2107,1.046819787985866
"AltitudeClasse","Cultivar",1132,1556,2823,1.086760925449872
"AltitudeClasse","Cultura",1132,875,2059,1.045936395759717
"AltitudeClasse","DATA",1132,1277,2392,0.986687548942835
"AltitudeClasse","DATAJ",1132,909,2062,1.018551236749117
"AltitudeClasse","DIRVT2M1stQ",1132,1122,2161,0.917844522968198
"AltitudeClasse","DIRVT2M3stQ",1132,1122,2176,0.931095406360424
"AltitudeClasse","DIRVT2MMAX",1132,1044,2106,0.938162544169611
"AltitudeClasse","DIRVT2MMED",1132,1140,2187,0.925438596491228
"AltitudeClasse","DIRVT2MMEDIAN",1132,1129,2180,0.928445229681979
"AltitudeClasse","DIRVT2MMIN",1132,1042,2091,0.926678445229682
"AltitudeClasse","DIRVT2MSOMA",1132,1298,2388,0.967642526964561
"AltitudeClasse","FOTOPERIODO1stQ",1132,1068,2218,1.015901060070671
"AltitudeClasse","FOTOPERIODO3stQ",1132,994,2160,1.030035335689046
"AltitudeClasse","FOTOPERIODOMAX",1132,973,2145,1.035335689045936
"AltitudeClasse","FOTOPERIODOMED",1132,1035,2196,1.025618374558304
"AltitudeClasse","FOTOPERIODOMEDIAN",1132,1035,2187,1.017667844522968
"AltitudeClasse","FOTOPERIODOMIN",1132,1121,2279,1.022968197879859
"AltitudeClasse","FOTOPERIODOSOMA",1132,1865,2989,0.995710455764075
"AltitudeClasse","Fazenda",1132,3008,4219,1.026263297872340
"AltitudeClasse","FungicidaPlanejado",1132,1013,2072,0.935512367491166
"AltitudeClasse","Fungicidaaplicações",1132,995,2098,0.974381625441696
"AltitudeClasse","HerbicidaPlanejado",1132,1015,2087,0.946996466431095
"AltitudeClasse","Herbicidaaplicações",1132,984,2106,0.991166077738516
"AltitudeClasse","InseticidaPlanejado",1132,1030,2081,0.928445229681979
"AltitudeClasse","Inseticidaaplicações",1132,984,2103,0.988515901060071
"AltitudeClasse","Latitude",1132,2415,3561,1.005797101449275
"AltitudeClasse","Longitude",1132,2431,3590,1.011106540518305
"AltitudeClasse","Município",1132,1525,2761,1.068196721311475
"AltitudeClasse","PREC1stQ",1132,865,2032,1.030918727915194
"AltitudeClasse","PREC3stQ",1132,1230,2389,1.021951219512195
"AltitudeClasse","PRECMAX",1132,1321,2455,1.001514004542014
"AltitudeClasse","PRECMED",1132,1181,2348,1.029635901778154
"AltitudeClasse","PRECMEDIAN",1132,956,2109,1.018551236749117
"AltitudeClasse","PRECMIN",1132,841,2019,1.040636042402827
"AltitudeClasse","PRECSOMA",1132,1690,2780,0.975147928994083
"AltitudeClasse","PopulaçãoPlanejadaplm2",1132,1165,2346,1.042060085836910
